GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,SMSAA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,BLCK_GRPA,BLOCKA,EDINDA,ENUMDISTA,SCSAA,URB_AREAA,CDA,AIANHHA,MCDSEQNOA,ZIPA,AREANAME,C9D001,C9D002,C9D003,C9D004,C9D005,C9D006,C9D007,C9D008,C9D009,C9D010,C9D011,C9D012,C9D013,C9D014,C9D015
G1100010007604,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,26.0,5.0,7604,,,,,,,,,,,State: 11 County: 001 Tract: 76.04,444,4171,2,0,0,1,0,7,0,0,0,2,0,0,15
G1100010007605,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,26.0,5.0,7605,,,,,,,,,,,State: 11 County: 001 Tract: 76.05,201,3772,6,0,0,6,3,2,0,1,0,1,0,0,24
G1100010007703,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,26.0,5.0,7703,,,,,,,,,,,State: 11 County: 001 Tract: 77.03,34,6788,3,0,0,2,0,0,0,0,0,3,0,0,19
G1100010007707,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,26.0,5.0,7707,,,,,,,,,,,State: 11 County: 001 Tract: 77.07,61,4687,1,0,0,2,0,1,1,1,2,2,0,0,22
G1100010007708,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,26.0,5.0,7708,,,,,,,,,,,State: 11 County: 001 Tract: 77.08,44,2935,4,0,0,4,1,0,0,0,0,0,0,0,4
G1100010007709,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,26.0,5.0,7709,,,,,,,,,,,State: 11 County: 001 Tract: 77.09,313,2221,2,0,0,1,0,2,1,1,0,0,0,0,19
G1100010007803,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,16.0,5.0,7803,,,,,,,,,,,State: 11 County: 001 Tract: 78.03,38,4887,3,0,0,0,0,4,0,0,0,1,0,0,33
G1100010007804,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,16.0,5.0,7804,,,,,,,,,,,State: 11 County: 001 Tract: 78.04,13,3852,10,0,0,0,0,0,0,0,0,3,0,0,7
G1100010007805,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,16.0,5.0,7805,,,,,,,,,,,State: 11 County: 001 Tract: 78.05,29,6353,8,0,0,3,0,0,1,2,0,1,0,0,16
G1100010007807,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,16.0,5.0,7807,,,,,,,,,,,State: 11 County: 001 Tract: 78.07,9,2475,1,0,0,0,0,0,0,0,0,2,0,0,14
G1100010007808,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,16.0,5.0,7808,,,,,,,,,,,State: 11 County: 001 Tract: 78.08,14,5897,2,0,0,2,2,0,0,0,0,1,0,0,9
G1100010007901,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,16.0,5.0,7901,,,,,,,,,,,State: 11 County: 001 Tract: 79.01,65,4548,1,0,0,1,14,0,0,1,0,2,0,0,22
G1100010007903,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,16.0,5.0,7903,,,,,,,,,,,State: 11 County: 001 Tract: 79.03,18,2404,2,0,0,1,0,0,1,1,0,1,0,0,9
G1100010008001,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,16.0,5.0,8001,,,,,,,,,,,State: 11 County: 001 Tract: 80.01,328,3142,0,0,0,0,12,0,0,4,0,1,0,0,11
G1100010008002,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,,5.0,8002,,,,,,,,,,,State: 11 County: 001 Tract: 80.02,477,3026,0,0,0,0,2,5,2,1,0,1,0,0,6
G11000100081,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,16.0,5.0,81,,,,,,,,,,,State: 11 County: 001 Tract: 81,1295,1834,4,0,0,7,21,0,10,1,0,2,7,0,19
G11000100082,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,16.0,5.0,82,,,,,,,,,,,State: 11 County: 001 Tract: 82,2130,310,2,0,0,10,14,6,0,2,2,2,0,0,39
G1100010008301,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,16.0,5.0,8301,,,,,,,,,,,State: 11 County: 001 Tract: 83.01,814,1524,4,0,0,6,9,1,2,6,0,1,0,0,10
G1100010008302,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,16.0,5.0,8302,,,,,,,,,,,State: 11 County: 001 Tract: 83.02,789,1524,4,0,0,3,8,1,4,2,0,3,0,0,11
G1100010008401,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,16.0,5.0,8401,,,,,,,,,,,State: 11 County: 001 Tract: 84.01,39,2236,1,4,0,1,1,0,0,3,0,1,0,0,15
G1100010008402,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,16.0,5.0,8402,,,,,,,,,,,State: 11 County: 001 Tract: 84.02,381,1744,1,0,1,0,8,13,1,1,1,1,2,0,5
G11000100085,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,16.0,5.0,85,,,,,,,,,,,State: 11 County: 001 Tract: 85,144,4130,10,0,0,0,5,1,3,0,0,0,0,0,19
G11000100086,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,16.0,5.0,86,,,,,,,,,,,State: 11 County: 001 Tract: 86,32,487,0,0,0,2,3,0,1,0,0,0,0,0,8
G1100010008701,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,16.0,5.0,8701,,,,,,,,,,,State: 11 County: 001 Tract: 87.01,17,3135,4,0,0,0,0,4,2,0,0,1,0,0,19
G1100010008702,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,16.0,5.0,8702,,,,,,,,,,,State: 11 County: 001 Tract: 87.02,30,2033,7,0,0,0,0,0,0,4,0,0,0,0,4
G1100010008802,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,16.0,5.0,8802,,,,,,,,,,,State: 11 County: 001 Tract: 88.02,57,5143,8,0,0,0,4,1,2,0,0,1,0,0,8
G1100010008803,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,16.0,5.0,8803,,,,,,,,,,,State: 11 County: 001 Tract: 88.03,952,1635,10,0,0,7,11,3,1,9,0,1,0,0,30
G1100010008804,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,16.0,5.0,8804,,,,,,,,,,,State: 11 County: 001 Tract: 88.04,15,3321,1,0,0,3,0,0,0,3,0,0,0,0,7
G1100010008903,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,16.0,5.0,8903,,,,,,,,,,,State: 11 County: 001 Tract: 89.03,36,3673,1,0,0,3,1,3,0,4,0,0,0,0,7
G1100010008904,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,16.0,5.0,8904,,,,,,,,,,,State: 11 County: 001 Tract: 89.04,11,4206,11,2,0,1,0,0,1,0,0,0,0,0,17
G1100010008905,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,16.0,5.0,8905,,,,,,,,,,,State: 11 County: 001 Tract: 89.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G1100010009001,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,16.0,5.0,9001,,,,,,,,,,,State: 11 County: 001 Tract: 90.01,56,1320,0,0,0,0,1,3,0,9,0,0,0,0,9
G1100010009002,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,16.0,5.0,9002,,,,,,,,,,,State: 11 County: 001 Tract: 90.02,102,1469,3,0,0,0,0,0,0,0,0,1,0,0,7
G1100010009101,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,16.0,5.0,9101,,,,,,,,,,,State: 11 County: 001 Tract: 91.01,466,3477,6,0,0,4,2,3,1,3,1,2,0,0,28
G1100010009102,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,16.0,5.0,9102,,,,,,,,,,,State: 11 County: 001 Tract: 91.02,73,5365,4,0,0,2,1,9,0,3,0,0,0,0,8
G1100010009201,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,16.0,5.0,9201,,,,,,,,,,,State: 11 County: 001 Tract: 92.01,1750,1084,5,0,0,2,6,1,4,18,5,0,0,0,41
G1100010009202,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,16.0,5.0,9202,,,,,,,,,,,State: 11 County: 001 Tract: 92.02,184,5838,15,0,0,0,2,3,0,0,7,4,0,0,33
G1100010009301,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,16.0,5.0,9301,,,,,,,,,,,State: 11 County: 001 Tract: 93.01,692,3174,11,0,0,3,10,2,1,7,13,1,0,0,35
G1100010009302,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,16.0,5.0,9302,,,,,,,,,,,State: 11 County: 001 Tract: 93.02,42,2046,1,0,0,1,1,0,0,0,0,0,0,0,2
G11000100094,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,16.0,5.0,94,,,,,,,,,,,State: 11 County: 001 Tract: 94,221,4771,4,0,0,1,0,3,0,1,0,5,0,0,43
G1100010009501,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,,5.0,9501,,,,,,,,,,,State: 11 County: 001 Tract: 95.01,1105,3173,6,0,0,1,8,10,0,3,3,3,0,0,29
G1100010009502,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,16.0,5.0,9502,,,,,,,,,,,State: 11 County: 001 Tract: 95.02,1213,5874,19,0,0,1,19,7,3,17,0,4,0,0,50
G1100010009503,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,16.0,5.0,9503,,,,,,,,,,,State: 11 County: 001 Tract: 95.03,653,3199,4,0,0,2,8,0,0,0,0,2,0,0,31
G1100010009505,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,,5.0,9505,,,,,,,,,,,State: 11 County: 001 Tract: 95.05,243,2932,3,0,0,4,2,10,0,0,0,1,0,0,24
G1100010009507,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,16.0,5.0,9507,,,,,,,,,,,State: 11 County: 001 Tract: 95.07,36,1954,9,0,0,3,0,0,0,0,0,1,0,0,4
G1100010009508,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,16.0,5.0,9508,,,,,,,,,,,State: 11 County: 001 Tract: 95.08,80,3438,5,0,0,3,0,0,0,1,0,0,0,0,11
G1100010009601,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,16.0,5.0,9601,,,,,,,,,,,State: 11 County: 001 Tract: 96.01,19,3468,8,0,0,0,0,0,0,0,0,1,0,0,10
G1100010009602,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,16.0,5.0,9602,,,,,,,,,,,State: 11 County: 001 Tract: 96.02,5,3291,6,0,0,1,0,0,0,0,0,1,0,0,18
G1100010009603,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,16.0,5.0,9603,,,,,,,,,,,State: 11 County: 001 Tract: 96.03,20,3863,4,0,0,3,0,0,0,0,0,1,0,0,9
G1100010009604,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,16.0,5.0,9604,,,,,,,,,,,State: 11 County: 001 Tract: 96.04,26,2417,2,0,0,0,1,0,1,0,0,1,0,0,4
G11000100097,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,26.0,5.0,97,,,,,,,,,,,State: 11 County: 001 Tract: 97,19,4527,7,0,0,1,0,0,0,1,0,0,0,0,4
G1100010009801,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,26.0,5.0,9801,,,,,,,,,,,State: 11 County: 001 Tract: 98.01,17,3506,0,0,0,1,0,6,0,0,0,0,0,0,9
G1100010009802,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,26.0,5.0,9802,,,,,,,,,,,State: 11 County: 001 Tract: 98.02,15,2787,6,0,0,1,0,0,0,0,0,1,0,0,4
G1100010009803,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,26.0,5.0,9803,,,,,,,,,,,State: 11 County: 001 Tract: 98.03,96,3216,7,0,0,2,0,2,0,0,0,0,0,0,24
G1100010009804,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,26.0,5.0,9804,,,,,,,,,,,State: 11 County: 001 Tract: 98.04,37,2380,0,0,0,2,0,0,0,0,0,2,4,0,1
G1100010009805,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,26.0,5.0,9805,,,,,,,,,,,State: 11 County: 001 Tract: 98.05,70,1208,1,0,0,0,3,1,2,1,0,1,0,0,7
G1100010009806,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,26.0,5.0,9806,,,,,,,,,,,State: 11 County: 001 Tract: 98.06,82,6804,9,0,0,1,0,0,0,0,0,1,7,0,13
G1100010009807,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,31.0,5.0,9807,,,,,,,,,,,State: 11 County: 001 Tract: 98.07,195,3727,5,0,0,2,3,63,1,0,0,0,0,0,27
G1100010009808,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,31.0,5.0,9808,,,,,,,,,,,State: 11 County: 001 Tract: 98.08,30,2413,4,0,0,1,0,1,0,4,0,0,0,0,22
G1100010009809,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,26.0,5.0,9809,,,,,,,,,,,State: 11 County: 001 Tract: 98.09,630,1426,1,0,0,0,4,0,0,1,0,0,0,0,20
G1100010009901,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,26.0,5.0,9901,,,,,,,,,,,State: 11 County: 001 Tract: 99.01,437,2436,4,0,0,0,5,1,2,5,0,3,0,0,11
G1100010009902,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,26.0,5.0,9902,,,,,,,,,,,State: 11 County: 001 Tract: 99.02,166,3429,8,0,0,0,0,0,0,1,0,1,0,0,12
G1100010009903,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,26.0,5.0,9903,,,,,,,,,,,State: 11 County: 001 Tract: 99.03,5,3882,4,0,0,1,0,0,0,0,0,1,0,0,9
G1100010009904,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,26.0,5.0,9904,,,,,,,,,,,State: 11 County: 001 Tract: 99.04,29,4009,3,0,0,2,0,0,1,0,0,3,0,0,9
G1100010009905,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,26.0,5.0,9905,,,,,,,,,,,State: 11 County: 001 Tract: 99.05,3,3613,6,0,0,2,0,1,0,0,0,0,0,0,7
G1100010009906,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,26.0,5.0,9906,,,,,,,,,,,State: 11 County: 001 Tract: 99.06,15,2166,1,0,0,0,0,0,0,0,0,2,0,0,4
G1100010009907,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,26.0,5.0,9907,,,,,,,,,,,State: 11 County: 001 Tract: 99.07,12,3373,0,0,0,2,0,0,2,0,0,1,0,0,15
