GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,SMSAA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,BLCK_GRPA,BLOCKA,EDINDA,ENUMDISTA,SCSAA,URB_AREAA,CDA,AIANHHA,MCDSEQNOA,ZIPA,AREANAME,C9D001,C9D002,C9D003,C9D004,C9D005,C9D006,C9D007,C9D008,C9D009,C9D010,C9D011,C9D012,C9D013,C9D014,C9D015
G1100010001902,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,21.0,5.0,1902,,,,,,,,,,,State: 11 County: 001 Tract: 19.02,230,2409,1,0,0,0,2,5,0,0,0,1,0,0,34
G1100010002001,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,21.0,5.0,2001,,,,,,,,,,,State: 11 County: 001 Tract: 20.01,499,1862,8,0,0,2,21,8,1,8,12,0,0,0,77
G1100010002002,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,21.0,5.0,2002,,,,,,,,,,,State: 11 County: 001 Tract: 20.02,373,3838,19,0,0,2,6,1,2,1,0,0,0,0,72
G1100010002101,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,21.0,5.0,2101,,,,,,,,,,,State: 11 County: 001 Tract: 21.01,145,5602,6,0,0,4,4,5,1,0,0,3,0,0,46
G1100010002102,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,21.0,5.0,2102,,,,,,,,,,,State: 11 County: 001 Tract: 21.02,195,5292,13,0,0,1,4,1,0,4,0,2,0,0,33
G1100010002201,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,21.0,5.0,2201,,,,,,,,,,,State: 11 County: 001 Tract: 22.01,87,3871,1,0,0,2,1,1,0,0,0,0,0,0,45
G1100010002202,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,21.0,5.0,2202,,,,,,,,,,,State: 11 County: 001 Tract: 22.02,84,3388,7,0,0,0,2,0,0,0,0,5,0,0,34
G1100010002301,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,21.0,5.0,2301,,,,,,,,,,,State: 11 County: 001 Tract: 23.01,72,3640,3,0,0,0,0,1,0,1,0,0,0,0,13
G1100010002302,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,,5.0,2302,,,,,,,,,,,State: 11 County: 001 Tract: 23.02,2446,486,9,0,0,1,2,7,0,0,1,0,0,0,7
G11000100024,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,21.0,5.0,24,,,,,,,,,,,State: 11 County: 001 Tract: 24,133,4031,13,0,0,0,4,2,8,7,0,1,0,0,31
G1100010002501,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,21.0,5.0,2501,,,,,,,,,,,State: 11 County: 001 Tract: 25.01,204,2444,10,0,0,0,0,0,5,2,0,0,0,0,25
G1100010002502,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,21.0,5.0,2502,,,,,,,,,,,State: 11 County: 001 Tract: 25.02,110,4679,6,0,0,3,6,2,0,6,0,5,0,0,93
G11000100026,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,21.0,5.0,26,,,,,,,,,,,State: 11 County: 001 Tract: 26,645,1671,2,0,0,3,4,2,0,1,3,1,0,0,19
G1100010002701,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,21.0,5.0,2701,,,,,,,,,,,State: 11 County: 001 Tract: 27.01,1799,2302,12,1,0,6,31,41,0,5,90,1,0,1,286
G1100010002702,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,21.0,5.0,2702,,,,,,,,,,,State: 11 County: 001 Tract: 27.02,1999,2635,18,0,0,9,45,11,24,9,6,2,0,1,678
G11000100028,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,21.0,5.0,28,,,,,,,,,,,State: 11 County: 001 Tract: 28,614,5293,12,0,0,8,20,12,5,11,18,2,2,0,495
G11000100029,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,21.0,5.0,29,,,,,,,,,,,State: 11 County: 001 Tract: 29,82,4058,2,0,0,0,1,1,1,2,0,0,0,0,80
G11000100030,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,21.0,5.0,30,,,,,,,,,,,State: 11 County: 001 Tract: 30,70,2422,4,0,0,2,1,0,0,0,0,0,0,0,57
G11000100031,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,21.0,5.0,31,,,,,,,,,,,State: 11 County: 001 Tract: 31,31,2938,5,0,0,1,10,0,0,0,2,2,0,0,46
G11000100032,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,21.0,5.0,32,,,,,,,,,,,State: 11 County: 001 Tract: 32,50,5049,2,0,0,0,4,14,0,12,0,1,0,0,33
G1100010003301,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,21.0,5.0,3301,,,,,,,,,,,State: 11 County: 001 Tract: 33.01,97,3565,2,0,0,3,0,2,0,0,1,1,0,0,12
G1100010003302,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,21.0,5.0,3302,,,,,,,,,,,State: 11 County: 001 Tract: 33.02,56,2699,0,0,0,0,8,1,0,0,0,3,0,0,27
G11000100034,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,21.0,5.0,34,,,,,,,,,,,State: 11 County: 001 Tract: 34,42,4717,5,1,0,1,6,3,0,6,0,4,0,0,23
