GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,PRETRACTA,TRACTA,POSTTRCTA,AREANAME,BUQ001,BUQ002
G11000100047,1940,District Of Columbia,11,District Of Columbia,1,,47,,STCTY-11001 TRACT-    0047     IN WASHINGTON DC,3252,7866
G11000100048,1940,District Of Columbia,11,District Of Columbia,1,,48,,STCTY-11001 TRACT-    0048     IN WASHINGTON DC,408,12313
G11000100049,1940,District Of Columbia,11,District Of Columbia,1,,49,,STCTY-11001 TRACT-    0049     IN WASHINGTON DC,3840,8651
G11000100050,1940,District Of Columbia,11,District Of Columbia,1,,50,,STCTY-11001 TRACT-    0050     IN WASHINGTON DC,4763,5600
G11000100051,1940,District Of Columbia,11,District Of Columbia,1,,51,,STCTY-11001 TRACT-    0051     IN WASHINGTON DC,3770,186
G11000100052,1940,District Of Columbia,11,District Of Columbia,1,,52,,STCTY-11001 TRACT-    0052     IN WASHINGTON DC,6236,3220
G11000100053,1940,District Of Columbia,11,District Of Columbia,1,,53,,STCTY-11001 TRACT-    0053     IN WASHINGTON DC,9518,1315
G11000100054,1940,District Of Columbia,11,District Of Columbia,1,,54,,STCTY-11001 TRACT-    0054     IN WASHINGTON DC,7814,2493
G11000100055,1940,District Of Columbia,11,District Of Columbia,1,,55,,STCTY-11001 TRACT-    0055     IN WASHINGTON DC,5199,3577
G11000100056,1940,District Of Columbia,11,District Of Columbia,1,,56,,STCTY-11001 TRACT-    0056     IN WASHINGTON DC,2286,3954
G11000100057,1940,District Of Columbia,11,District Of Columbia,1,,57,,STCTY-11001 TRACT-    0057     IN WASHINGTON DC,9485,1764
G11000100058,1940,District Of Columbia,11,District Of Columbia,1,,58,,STCTY-11001 TRACT-    0058     IN WASHINGTON DC,4612,315
G11000100059,1940,District Of Columbia,11,District Of Columbia,1,,59,,STCTY-11001 TRACT-    0059     IN WASHINGTON DC,5770,3243
G11000100060,1940,District Of Columbia,11,District Of Columbia,1,,60,,STCTY-11001 TRACT-    0060     IN WASHINGTON DC,988,9118
G11000100061,1940,District Of Columbia,11,District Of Columbia,1,,61,,STCTY-11001 TRACT-    0061     IN WASHINGTON DC,5226,1406
G11000100062,1940,District Of Columbia,11,District Of Columbia,1,,62,,STCTY-11001 TRACT-    0062     IN WASHINGTON DC,3828,1341
G11000100063,1940,District Of Columbia,11,District Of Columbia,1,,63,,STCTY-11001 TRACT-    0063     IN WASHINGTON DC,2208,2600
G11000100064,1940,District Of Columbia,11,District Of Columbia,1,,64,,STCTY-11001 TRACT-    0064     IN WASHINGTON DC,214,2420
G11000100065,1940,District Of Columbia,11,District Of Columbia,1,,65,,STCTY-11001 TRACT-    0065     IN WASHINGTON DC,5336,1721
G11000100066,1940,District Of Columbia,11,District Of Columbia,1,,66,,STCTY-11001 TRACT-    0066     IN WASHINGTON DC,3821,490
G11000100067,1940,District Of Columbia,11,District Of Columbia,1,,67,,STCTY-11001 TRACT-    0067     IN WASHINGTON DC,5873,1155
G11000100068,1940,District Of Columbia,11,District Of Columbia,1,,68,,STCTY-11001 TRACT-    0068     IN WASHINGTON DC,7497,1372
G11000100069,1940,District Of Columbia,11,District Of Columbia,1,,69,,STCTY-11001 TRACT-    0069     IN WASHINGTON DC,4323,1070
G11000100070,1940,District Of Columbia,11,District Of Columbia,1,,70,,STCTY-11001 TRACT-    0070     IN WASHINGTON DC,5404,1375
G11000100071,1940,District Of Columbia,11,District Of Columbia,1,,71,,STCTY-11001 TRACT-    0071     IN WASHINGTON DC,3952,500
G11000100072,1940,District Of Columbia,11,District Of Columbia,1,,72,,STCTY-11001 TRACT-    0072     IN WASHINGTON DC,1492,5691
G11000100073,1940,District Of Columbia,11,District Of Columbia,1,,73,,STCTY-11001 TRACT-    0073     IN WASHINGTON DC,6605,774
G11000100074,1940,District Of Columbia,11,District Of Columbia,1,,74,,STCTY-11001 TRACT-    0074     IN WASHINGTON DC,440,3522
G11000100075,1940,District Of Columbia,11,District Of Columbia,1,,75,,STCTY-11001 TRACT-    0075     IN WASHINGTON DC,4905,741
