GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,PRETRACTA,TRACTA,POSTTRCTA,AREANAME,B0J001,B0J002,B0J003
G11000100042,1950,District Of Columbia,11,District Of Columbia,1,,42,,STCTY-11001 TRACT-    0042     IN WASHINGTON DC,4733.0,6246.0,68.0
G11000100043,1950,District Of Columbia,11,District Of Columbia,1,,43,,STCTY-11001 TRACT-    0043     IN WASHINGTON DC,1045.0,4345.0,9.0
G11000100044,1950,District Of Columbia,11,District Of Columbia,1,,44,,STCTY-11001 TRACT-    0044     IN WASHINGTON DC,130.0,4752.0,17.0
G11000100045,1950,District Of Columbia,11,District Of Columbia,1,,45,,STCTY-11001 TRACT-    0045     IN WASHINGTON DC,22.0,3203.0,13.0
G11000100046,1950,District Of Columbia,11,District Of Columbia,1,,46,,STCTY-11001 TRACT-    0046     IN WASHINGTON DC,1511.0,6186.0,23.0
G11000100047,1950,District Of Columbia,11,District Of Columbia,1,,47,,STCTY-11001 TRACT-    0047     IN WASHINGTON DC,2172.0,7748.0,63.0
G11000100048,1950,District Of Columbia,11,District Of Columbia,1,,48,,STCTY-11001 TRACT-    0048     IN WASHINGTON DC,176.0,11355.0,35.0
G11000100049,1950,District Of Columbia,11,District Of Columbia,1,,49,,STCTY-11001 TRACT-    0049     IN WASHINGTON DC,1924.0,10330.0,90.0
G11000100050,1950,District Of Columbia,11,District Of Columbia,1,,50,,STCTY-11001 TRACT-    0050     IN WASHINGTON DC,4042.0,6288.0,64.0
G11000100051,1950,District Of Columbia,11,District Of Columbia,1,,51,,STCTY-11001 TRACT-    0051     IN WASHINGTON DC,3104.0,138.0,137.0
G11000100052,1950,District Of Columbia,11,District Of Columbia,1,,52,,STCTY-11001 TRACT-    0052     IN WASHINGTON DC,5606.0,3165.0,40.0
G11000100053,1950,District Of Columbia,11,District Of Columbia,1,,53,,STCTY-11001 TRACT-    0053     IN WASHINGTON DC,8460.0,1775.0,51.0
G11000100054,1950,District Of Columbia,11,District Of Columbia,1,,54,,STCTY-11001 TRACT-    0054     IN WASHINGTON DC,5257.0,1752.0,46.0
G11000100055,1950,District Of Columbia,11,District Of Columbia,1,,55,,STCTY-11001 TRACT-    0055     IN WASHINGTON DC,5421.0,3409.0,48.0
G11000100056,1950,District Of Columbia,11,District Of Columbia,1,,56,,STCTY-11001 TRACT-    0056     IN WASHINGTON DC,1735.0,4083.0,47.0
G11000100057,1950,District Of Columbia,11,District Of Columbia,1,,57,,STCTY-11001 TRACT-    0057     IN WASHINGTON DC,8535.0,1291.0,59.0
G11000100058,1950,District Of Columbia,11,District Of Columbia,1,,58,,STCTY-11001 TRACT-    0058     IN WASHINGTON DC,3302.0,226.0,357.0
G11000100059,1950,District Of Columbia,11,District Of Columbia,1,,59,,STCTY-11001 TRACT-    0059     IN WASHINGTON DC,3570.0,2956.0,48.0
G11000100060,1950,District Of Columbia,11,District Of Columbia,1,,60,,STCTY-11001 TRACT-    0060     IN WASHINGTON DC,474.0,9071.0,14.0
G11000100061,1950,District Of Columbia,11,District Of Columbia,1,,61,,STCTY-11001 TRACT-    0061     IN WASHINGTON DC,3739.0,2267.0,30.0
G11000100062,1950,District Of Columbia,11,District Of Columbia,1,,62,,STCTY-11001 TRACT-    0062     IN WASHINGTON DC,2670.0,1752.0,18.0
G11000100063,1950,District Of Columbia,11,District Of Columbia,1,,63,,STCTY-11001 TRACT-    0063     IN WASHINGTON DC,2250.0,3174.0,31.0
G11000100064,1950,District Of Columbia,11,District Of Columbia,1,,64,,STCTY-11001 TRACT-    0064     IN WASHINGTON DC,179.0,4410.0,3.0
G11000100065,1950,District Of Columbia,11,District Of Columbia,1,,65,,STCTY-11001 TRACT-    0065     IN WASHINGTON DC,4147.0,2582.0,77.0
G11000100066,1950,District Of Columbia,11,District Of Columbia,1,,66,,STCTY-11001 TRACT-    0066     IN WASHINGTON DC,3217.0,810.0,30.0
G11000100067,1950,District Of Columbia,11,District Of Columbia,1,,67,,STCTY-11001 TRACT-    0067     IN WASHINGTON DC,4674.0,2233.0,31.0
G11000100068,1950,District Of Columbia,11,District Of Columbia,1,,68,,STCTY-11001 TRACT-    0068     IN WASHINGTON DC,6390.0,3935.0,36.0
G11000100069,1950,District Of Columbia,11,District Of Columbia,1,,69,,STCTY-11001 TRACT-    0069     IN WASHINGTON DC,2991.0,2173.0,23.0
G11000100070,1950,District Of Columbia,11,District Of Columbia,1,,70,,STCTY-11001 TRACT-    0070     IN WASHINGTON DC,4597.0,2328.0,45.0
G11000100071,1950,District Of Columbia,11,District Of Columbia,1,,71,,STCTY-11001 TRACT-    0071     IN WASHINGTON DC,3203.0,997.0,15.0
G11000100072,1950,District Of Columbia,11,District Of Columbia,1,,72,,STCTY-11001 TRACT-    0072     IN WASHINGTON DC,696.0,6039.0,23.0
G11000100073,1950,District Of Columbia,11,District Of Columbia,1,,73,,STCTY-11001 TRACT-    0073     IN WASHINGTON DC,33905.0,2550.0,171.0
G11000100074,1950,District Of Columbia,11,District Of Columbia,1,,74,,STCTY-11001 TRACT-    0074     IN WASHINGTON DC,5057.0,10180.0,30.0
G11000100075,1950,District Of Columbia,11,District Of Columbia,1,,75,,STCTY-11001 TRACT-    0075     IN WASHINGTON DC,7404.0,868.0,0.0
G11000100076,1950,District Of Columbia,11,District Of Columbia,1,,76,,STCTY-11001 TRACT-    0076     IN WASHINGTON DC,18906.0,61.0,38.0
G11000100077,1950,District Of Columbia,11,District Of Columbia,1,,77,,STCTY-11001 TRACT-    0077     IN WASHINGTON DC,20685.0,8832.0,29.0
G11000100078,1950,District Of Columbia,11,District Of Columbia,1,,78,,STCTY-11001 TRACT-    0078     IN WASHINGTON DC,8785.0,27781.0,57.0
G11000100079,1950,District Of Columbia,11,District Of Columbia,1,,79,,STCTY-11001 TRACT-    0079     IN WASHINGTON DC,4948.0,6022.0,24.0
G11000100080,1950,District Of Columbia,11,District Of Columbia,1,,80,,STCTY-11001 TRACT-    0080     IN WASHINGTON DC,6343.0,5557.0,21.0
G11000100081,1950,District Of Columbia,11,District Of Columbia,1,,81,,STCTY-11001 TRACT-    0081     IN WASHINGTON DC,3928.0,1327.0,25.0
G11000100082,1950,District Of Columbia,11,District Of Columbia,1,,82,,STCTY-11001 TRACT-    0082     IN WASHINGTON DC,5433.0,1014.0,26.0
G11000100083,1950,District Of Columbia,11,District Of Columbia,1,,83,,STCTY-11001 TRACT-    0083     IN WASHINGTON DC,5668.0,5100.0,44.0
G11000100084,1950,District Of Columbia,11,District Of Columbia,1,,84,,STCTY-11001 TRACT-    0084     IN WASHINGTON DC,3341.0,4733.0,31.0
G11000100085,1950,District Of Columbia,11,District Of Columbia,1,,85,,STCTY-11001 TRACT-    0085     IN WASHINGTON DC,2087.0,6464.0,12.0
G11000100086,1950,District Of Columbia,11,District Of Columbia,1,,86,,STCTY-11001 TRACT-    0086     IN WASHINGTON DC,921.0,3983.0,20.0
G11000100087,1950,District Of Columbia,11,District Of Columbia,1,,87,,STCTY-11001 TRACT-    0087     IN WASHINGTON DC,4310.0,2957.0,14.0
G11000100088,1950,District Of Columbia,11,District Of Columbia,1,,88,,STCTY-11001 TRACT-    0088     IN WASHINGTON DC,8609.0,6972.0,12.0
G11000100089,1950,District Of Columbia,11,District Of Columbia,1,,89,,STCTY-11001 TRACT-    0089     IN WASHINGTON DC,2882.0,7920.0,9.0
G11000100090,1950,District Of Columbia,11,District Of Columbia,1,,90,,STCTY-11001 TRACT-    0090     IN WASHINGTON DC,2251.0,572.0,9.0
G11000100091,1950,District Of Columbia,11,District Of Columbia,1,,91,,STCTY-11001 TRACT-    0091     IN WASHINGTON DC,8937.0,50.0,18.0
G11000100092,1950,District Of Columbia,11,District Of Columbia,1,,92,,STCTY-11001 TRACT-    0092     IN WASHINGTON DC,7921.0,148.0,32.0
G11000100093,1950,District Of Columbia,11,District Of Columbia,1,,93,,STCTY-11001 TRACT-    0093     IN WASHINGTON DC,4663.0,2662.0,29.0
G11000100094,1950,District Of Columbia,11,District Of Columbia,1,,94,,STCTY-11001 TRACT-    0094     IN WASHINGTON DC,5818.0,6.0,2.0
G11000100095,1950,District Of Columbia,11,District Of Columbia,1,,95,,STCTY-11001 TRACT-    0095     IN WASHINGTON DC,16708.0,181.0,56.0
G11000100096,1950,District Of Columbia,11,District Of Columbia,1,,96,,STCTY-11001 TRACT-    0096     IN WASHINGTON DC,4558.0,2558.0,58.0
